Name;Position;RealTeam
BULASIO, ARIEL RAUL;GoalKeeper;Club Atletico Aldosivi
CAMPODONICO, PABLO JAVIER;GoalKeeper;Club Atletico Aldosivi
VEGA, MATIAS ALEJANDRO;GoalKeeper;Club Atletico Aldosivi
CANEVER, FRANCO NICOLAS;Defender;Club Atletico Aldosivi
DIAZ, ANGEL GASTON;Defender;Club Atletico Aldosivi
LEON, FEDERICO MATIAS;Defender;Club Atletico Aldosivi
LEON, GONZALO EMANUEL;Defender;Club Atletico Aldosivi
LEQUI, MATIAS EMANUEL;Defender;Club Atletico Aldosivi
MULLER, AXEL MILTON;Defender;Club Atletico Aldosivi
OLMOS, LUCAS;Defender;Club Atletico Aldosivi
ORTIZ, GUILLERMO;Defender;Club Atletico Aldosivi
QUILEZ, ISMAEL ALBERTO;Defender;Club Atletico Aldosivi
SOTO, CARLOS DANIEL;Defender;Club Atletico Aldosivi
VARGAS, ROQUE GABRIEL;Defender;Club Atletico Aldosivi
BUSTOS, NICOLAS ALEJANDRO;Midfielder;Club Atletico Aldosivi
BUZZINI, MARIANO;Midfielder;Club Atletico Aldosivi
CAPURRO, ALEJANDRO RUBEN;Midfielder;Club Atletico Aldosivi
FREDES, LEONARDO;Midfielder;Club Atletico Aldosivi
GALVAN, JONATHAN SEABASTIAN;Midfielder;Club Atletico Aldosivi
GARGIULO, JUAN PABLO;Midfielder;Club Atletico Aldosivi
LAMBERTI, HERNAN AGUSTIN;Midfielder;Club Atletico Aldosivi
LOPEZ, IVAN MARCELO;Midfielder;Club Atletico Aldosivi
LOPEZ, ANDRES;Midfielder;Club Atletico Aldosivi
MENSEGUEZ, JUAN CARLOS;Midfielder;Club Atletico Aldosivi
RIVERO, MARTIN RODRIGO;Midfielder;Club Atletico Aldosivi
SECCAFIEN, MARIANO ENRIQUE;Midfielder;Club Atletico Aldosivi
TORO, BRIAN;Midfielder;Club Atletico Aldosivi
DIP, DANIEL ALBERTO;Forward;Club Atletico Aldosivi
LAGOS, DIEGO EDUARDO;Forward;Club Atletico Aldosivi
LUGUERCIO, PABLO ARIEL;Forward;Club Atletico Aldosivi
MARTINEZ, ROGER BEYKER;Forward;Club Atletico Aldosivi
MIRACCO, NICOLAS JUAN MARTIN;Forward;Club Atletico Aldosivi
ROSALES, JOSE SANTIAGO;Forward;Club Atletico Aldosivi
SAND, JOSE GUSTAVO;Forward;Club Atletico Aldosivi
VILDOZO, LUIS ANGEL;Forward;Club Atletico Aldosivi
